"Subject","Land: Dual Task","Land: Single Task","Water: Dual Task","Water: Single Task"
"01",1.505472064197,1.41620898284613,1.27603028456169,1.304809739823
"02",1.38433008596732,1.38390143061212,1.42825321762784,1.03463917494183
"03",1.73924760547863,1.6765252855241,NA,NA
"04",1.23441456716386,0.684864766148,1.6283753585678,1.46961651153151
"05",1.3165702644255,1.47838948164721,1.39476134325475,1.12933505429843
"06",1.32309013454837,1.07685074317854,0.993373370248892,1.13437917847085
"07",1.28021620518395,1.0152532529157,1.48068848226269,1.15640377147163
"08",1.7003091932176,1.4567034708343,1.8789645086524,1.64079941845626
"09",1.43425208613771,1.44982008514587,1.22185349836336,1.05194791092363
"10",1.24401171314242,0.651571238804338,1.23896597177385,1.20183500006854
"11",1.80992796359785,1.81903477717402,1.57293351795646,1.62184288191717
"12",0.975952260900738,1.07149592210211,1.43003464169056,0.887030296443568
"13",1.19070693713111,1.05983498000232,0.879752767458281,1.14341475132196
"14",1.56974666518955,1.38640996539732,0.931451109359833,1.43613444356502
"15",1.01905312759591,0.851227568701003,1.22132437067624,1.48633917984332
"16",1.22082386457043,0.795352474044128,1.57294164393819,1.39935579406969
"17",1.17821205348947,0.989773216359994,1.54100930341857,1.58088720802768
"18",1.08046350567752,1.34635210700937,0.980055123642364,1.5794672897119
"19",1.13959864082515,1.00407096777737,0.445614793221195,1.13450293236286
"20",1.59559170170738,1.40445829257719,NA,1.14407384846359
"21",0.607685485232468,0.848495941580856,0.712579725799029,0.591057963448667
